year,club,SeasonGoalScored,goals,group
2009,Ajax Cape Town,27,27,urban warriors 
2010,Ajax Cape Town,50,77,urban warriors 
2011,Ajax Cape Town,42,119,urban warriors 
2012,Ajax Cape Town,34,153,urban warriors 
2013,Ajax Cape Town,27,180,urban warriors 
2014,Ajax Cape Town,34,214,urban warriors 
2015,Ajax Cape Town,34,248,urban warriors 
2016,Ajax Cape Town,29,277,urban warriors 
2017,Ajax Cape Town,21,298,urban warriors 
2018,Ajax Cape Town,0,298,urban warriors 
2019,Ajax Cape Town,0,298,urban warriors 
2009,Amazulu,30,30,usuthu 
2010,Amazulu,43,73,usuthu 
2011,Amazulu,32,105,usuthu 
2012,Amazulu,22,127,usuthu 
2013,Amazulu,27,154,usuthu 
2014,Amazulu,31,185,usuthu 
2015,Amazulu,0,185,usuthu 
2016,Amazulu,0,185,usuthu 
2017,Amazulu,30,215,usuthu 
2018,Amazulu,33,248,usuthu 
2019,Amazulu,9,257,usuthu 
2009,Baroka FC,0,0,bakgakga 
2010,Baroka FC,0,0,bakgakga 
2011,Baroka FC,0,0,bakgakga 
2012,Baroka FC,0,0,bakgakga 
2013,Baroka FC,0,0,bakgakga 
2014,Baroka FC,0,0,bakgakga 
2015,Baroka FC,0,0,bakgakga 
2016,Baroka FC,26,26,bakgakga 
2017,Baroka FC,32,58,bakgakga 
2018,Baroka FC,27,85,bakgakga 
2019,Baroka FC,9,94,bakgakga 
2009,Bidvest Wits,32,32,the clever boys 
2010,Bidvest Wits,47,79,the clever boys 
2011,Bidvest Wits,31,110,the clever boys 
2012,Bidvest Wits,34,144,the clever boys 
2013,Bidvest Wits,34,178,the clever boys 
2014,Bidvest Wits,34,212,the clever boys 
2015,Bidvest Wits,44,256,the clever boys 
2016,Bidvest Wits,47,303,the clever boys 
2017,Bidvest Wits,27,330,the clever boys 
2018,Bidvest Wits,45,375,the clever boys 
2019,Bidvest Wits,16,391,the clever boys 
2009,Black Leopards,0,0,lidoda duvha 
2010,Black Leopards,0,0,lidoda duvha 
2011,Black Leopards,36,36,lidoda duvha 
2012,Black Leopards,34,70,lidoda duvha 
2013,Black Leopards,0,70,lidoda duvha 
2014,Black Leopards,0,70,lidoda duvha 
2015,Black Leopards,0,70,lidoda duvha 
2016,Black Leopards,0,70,lidoda duvha 
2017,Black Leopards,0,70,lidoda duvha 
2018,Black Leopards,30,100,lidoda duvha 
2019,Black Leopards,13,113,lidoda duvha 
2009,Bloemfontein Celtic,38,38,phunya selesele 
2010,Bloemfontein Celtic,37,75,phunya selesele 
2011,Bloemfontein Celtic,35,110,phunya selesele 
2012,Bloemfontein Celtic,32,142,phunya selesele 
2013,Bloemfontein Celtic,35,177,phunya selesele 
2014,Bloemfontein Celtic,34,211,phunya selesele 
2015,Bloemfontein Celtic,30,241,phunya selesele 
2016,Bloemfontein Celtic,16,257,phunya selesele 
2017,Bloemfontein Celtic,25,282,phunya selesele 
2018,Bloemfontein Celtic,35,317,phunya selesele 
2019,Bloemfontein Celtic,20,337,phunya selesele 
2009,Cape Town City,0,0,the citizens 
2010,Cape Town City,0,0,the citizens 
2011,Cape Town City,0,0,the citizens 
2012,Cape Town City,0,0,the citizens 
2013,Cape Town City,0,0,the citizens 
2014,Cape Town City,0,0,the citizens 
2015,Cape Town City,0,0,the citizens 
2016,Cape Town City,47,47,the citizens 
2017,Cape Town City,26,73,the citizens 
2018,Cape Town City,47,120,the citizens 
2019,Cape Town City,19,139,the citizens 
2009,Chippa United,0,0,chilli boys 
2010,Chippa United,0,0,chilli boys 
2011,Chippa United,0,0,chilli boys 
2012,Chippa United,28,28,chilli boys 
2013,Chippa United,0,28,chilli boys 
2014,Chippa United,23,51,chilli boys 
2015,Chippa United,42,93,chilli boys 
2016,Chippa United,27,120,chilli boys 
2017,Chippa United,27,147,chilli boys 
2018,Chippa United,27,174,chilli boys 
2019,Chippa United,10,184,chilli boys 
2009,Free State Stars,29,29,ea lla koto 
2010,Free State Stars,28,57,ea lla koto 
2011,Free State Stars,38,95,ea lla koto 
2012,Free State Stars,32,127,ea lla koto 
2013,Free State Stars,32,159,ea lla koto 
2014,Free State Stars,34,193,ea lla koto 
2015,Free State Stars,28,221,ea lla koto 
2016,Free State Stars,26,247,ea lla koto 
2017,Free State Stars,29,276,ea lla koto 
2018,Free State Stars,31,307,ea lla koto 
2019,Free State Stars,0,307,ea lla koto 
2009,Golden Arrows,25,25,abafana besthende 
2010,Golden Arrows,44,69,abafana besthende 
2011,Golden Arrows,40,109,abafana besthende 
